,Date,Open,High,Low,CloseClose price adjusted for splits.,Adj CloseAdjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
0,"May 9, 2025",603.72,606.97,591.71,592.49,592.49,"10,408,400"
1,"May 8, 2025",606.29,611.30,596.62,598.01,598.01,"14,622,800"
2,"May 7, 2025",590.36,603.08,586.67,596.81,596.81,"13,139,100"
3,"May 6, 2025",592.53,596.03,586.58,587.31,587.31,"10,600,700"
4,"May 5, 2025",591.22,603.21,588.05,599.27,599.27,"13,887,700"
5,"May 2, 2025",583.46,604.34,578.33,597.02,597.02,"24,739,300"
6,"May 1, 2025",592.08,592.95,570.50,572.21,572.21,"31,159,000"
7,"Apr 30, 2025",538.40,549.10,529.50,549.00,549.00,"29,244,000"
8,"Apr 29, 2025",546.00,556.57,544.12,554.44,554.44,"11,835,000"
9,"Apr 28, 2025",555.64,558.49,540.59,549.74,549.74,"15,179,000"
10,"Apr 25, 2025",546.80,549.86,536.25,547.27,547.27,"17,098,900"
11,"Apr 24, 2025",518.73,533.90,517.50,533.15,533.15,"13,910,000"
12,"Apr 23, 2025",528.53,535.34,516.52,520.27,520.27,"18,173,900"
13,"Apr 22, 2025",491.87,506.88,486.36,500.28,500.28,"17,399,400"
14,"Apr 21, 2025",491.33,493.50,479.80,484.66,484.66,"16,166,000"
15,"Apr 17, 2025",505.25,507.30,498.01,501.48,501.48,"14,593,500"
16,"Apr 16, 2025",508.51,513.37,495.63,502.31,502.31,"18,735,100"
17,"Apr 15, 2025",532.11,537.94,517.50,521.52,521.52,"15,558,700"
18,"Apr 14, 2025",556.17,557.77,528.28,531.48,531.48,"14,130,900"
19,"Apr 11, 2025",535.51,547.40,528.59,543.57,543.57,"17,642,300"
20,"Apr 10, 2025",575.49,581.30,535.30,546.29,546.29,"28,173,500"
21,"Apr 9, 2025",509.27,587.89,502.11,585.77,585.77,"39,216,600"
22,"Apr 8, 2025",543.25,547.43,502.86,510.45,510.45,"28,034,200"
23,"Apr 7, 2025",485.10,539.37,481.90,516.25,516.25,"36,606,100"
24,"Apr 4, 2025",506.62,518.00,494.20,504.73,504.73,"38,589,800"
25,"Apr 3, 2025",546.22,552.56,530.30,531.62,531.62,"34,777,500"
26,"Apr 2, 2025",574.91,592.66,573.36,583.93,583.93,"13,470,800"
27,"Apr 1, 2025",570.84,589.91,570.00,586.00,586.00,"12,836,600"
28,"Mar 31, 2025",563.50,578.70,553.30,576.36,576.36,"21,124,700"
29,"Mar 28, 2025",600.31,601.75,573.92,576.74,576.74,"17,602,800"
30,"Mar 27, 2025",602.00,614.25,600.10,602.58,602.58,"10,436,500"
31,"Mar 26, 2025",624.89,626.75,606.61,610.98,610.98,"12,609,800"
32,"Mar 25, 2025",626.76,633.88,621.18,626.31,626.31,"15,312,500"
33,"Mar 24, 2025",614.97,622.54,612.20,618.85,618.85,"15,741,300"
34,"Mar 21, 2025",583.42,597.54,580.95,596.25,596.25,"25,015,900"
35,"Mar 20, 2025",582.76,610.20,579.51,586.00,586.00,"24,336,500"
