fecha,apertura,alto,bajo,cerrar,cierre_ajustado,volumen,dia,mes,año,retorno_diario,retorno_acumulado,tasa_variacion_ac,media_movil_5d,volatilidad
05/24/2024,467.6200,479.8500,466.3000,478.2200,476.4800,12012300,24,Mayo,2024,0.0000,0.0000,0.0227,0.0000,0.0000
05/28/2024,476.5800,480.8600,474.8400,479.9200,478.1800,10175800,28,Mayo,2024,0.0036,0.0036,0.0070,0.0000,0.0000
05/29/2024,474.6600,479.8500,473.7000,474.3600,472.6400,9226200,29,Mayo,2024,-0.0116,-0.0081,-0.0006,0.0000,0.0000
05/30/2024,471.6700,471.7300,464.7100,467.0500,465.3500,10735200,30,Mayo,2024,-0.0154,-0.0234,-0.0098,0.0000,0.0000
05/31/2024,465.8000,469.1200,454.4600,466.8300,465.1300,16919800,31,Mayo,2024,-0.0005,-0.0238,0.0022,473.2760,6.1253
06/03/2024,470.8600,479.6000,468.2400,477.4900,475.7500,11279400,3,Junio,2024,0.0228,-0.0015,0.0141,473.1300,5.9850
06/04/2024,477.0000,478.8900,473.2300,476.9900,475.2600,7088700,4,Junio,2024,-0.0010,-0.0026,-0.0000,472.5440,5.2527
06/05/2024,484.4500,496.6500,483.9100,495.0600,493.2600,15690500,5,Junio,2024,0.0379,0.0352,0.0219,476.6840,11.4928
06/06/2024,492.9800,502.8200,490.8900,493.7600,491.9700,10667300,6,Junio,2024,-0.0026,0.0325,0.0016,482.0260,12.0875
06/07/2024,495.9100,498.9100,490.1700,492.9600,491.1700,9380700,7,Junio,2024,-0.0016,0.0308,-0.0059,487.2520,9.1720
06/10/2024,493.8600,502.6600,493.4100,502.6000,500.7700,11236900,10,Junio,2024,0.0196,0.0510,0.0177,492.2740,9.3631
06/11/2024,500.1600,507.6000,498.2700,507.4700,505.6300,9673700,11,Junio,2024,0.0097,0.0612,0.0146,498.3700,6.3675
06/12/2024,513.9900,514.0100,504.4700,508.8400,506.9900,11983200,12,Junio,2024,0.0027,0.0640,-0.0100,501.1260,7.4644
06/13/2024,505.7100,509.3600,501.3600,504.1000,502.2700,9954600,13,Junio,2024,-0.0093,0.0541,-0.0032,503.1940,6.2464
06/14/2024,502.6500,507.1500,500.7500,504.1600,502.8300,10243300,14,Junio,2024,0.0001,0.0542,0.0030,505.4340,2.6067
06/17/2024,501.6700,510.7500,496.0100,506.6300,505.2900,11266600,17,Junio,2024,0.0049,0.0594,0.0099,506.2400,2.0815
06/18/2024,504.5600,506.0000,495.0200,499.4900,498.1700,13060400,18,Junio,2024,-0.0141,0.0445,-0.0100,504.6440,3.4873
06/20/2024,502.0000,503.6700,496.7700,501.7000,500.3700,11801200,20,Junio,2024,0.0044,0.0491,-0.0006,503.2160,2.7161
06/21/2024,503.4500,503.4500,492.3900,494.7800,493.4700,23130700,21,Junio,2024,-0.0138,0.0346,-0.0172,501.3520,4.5421
06/24/2024,499.2000,507.8000,494.2900,498.9100,497.5900,13525300,24,Junio,2024,0.0083,0.0433,-0.0006,500.3020,4.3327
06/25/2024,497.0500,510.7100,495.5000,510.6000,509.2500,12109800,25,Junio,2024,0.0234,0.0677,0.0273,501.0960,5.8724
06/26/2024,506.6500,513.8100,504.6800,513.1200,511.7600,8882300,26,Junio,2024,0.0049,0.0730,0.0128,503.8220,7.7907
06/27/2024,514.2500,522.8800,513.9000,519.5600,518.1900,10121200,27,Junio,2024,0.0126,0.0864,0.0103,507.3940,10.2734
06/28/2024,517.1500,521.8800,503.8400,504.2200,502.8900,15855100,28,Junio,2024,-0.0295,0.0544,-0.0250,509.2820,7.9892
07/01/2024,504.9500,506.5800,493.1700,504.6800,503.3400,10328200,1,Julio,2024,0.0009,0.0553,-0.0005,510.4360,6.3688
07/02/2024,500.7600,510.5000,499.4500,509.5000,508.1500,7739500,2,Julio,2024,0.0096,0.0654,0.0175,510.2160,6.3807
07/03/2024,506.3700,511.2800,506.0200,509.9600,508.6100,6005600,3,Julio,2024,0.0009,0.0664,0.0071,509.5840,6.1744
07/05/2024,511.6000,540.8700,511.6000,539.9100,538.4800,21354100,5,Julio,2024,0.0587,0.1290,0.0553,513.6540,14.9149
07/08/2024,542.3500,542.8100,526.6500,529.3200,527.9200,14917500,8,Julio,2024,-0.0196,0.1069,-0.0240,518.6740,15.1677
07/09/2024,533.7500,537.4800,528.1900,530.0000,528.6000,8753200,9,Julio,2024,0.0013,0.1083,-0.0070,523.7380,13.4579
07/10/2024,530.7900,538.8800,528.3600,534.6900,533.2800,10983300,10,Julio,2024,0.0088,0.1181,0.0073,528.7760,11.3444
07/11/2024,530.8900,535.4600,508.3700,512.7000,511.3400,16458300,11,Julio,2024,-0.0411,0.0721,-0.0343,529.3240,10.2185
07/12/2024,497.7600,508.0900,494.2300,498.8700,497.5500,19750500,12,Julio,2024,-0.0270,0.0432,0.0022,521.1160,14.9683
07/15/2024,498.6300,506.6800,493.3700,496.1600,494.8500,12539200,15,Julio,2024,-0.0054,0.0375,-0.0050,514.4840,17.5483
07/16/2024,501.5000,503.9500,485.7900,489.7900,488.4900,14075800,16,Julio,2024,-0.0128,0.0242,-0.0233,506.4420,17.8708
07/17/2024,479.1700,479.1700,459.1200,461.9900,460.7700,28076600,17,Julio,2024,-0.0568,-0.0339,-0.0359,491.9020,18.6978
07/18/2024,475.0000,479.2400,464.5400,475.8500,474.5900,19267200,18,Julio,2024,0.0300,-0.0050,0.0018,484.5320,15.4269
07/19/2024,476.0600,486.7100,475.7100,476.7900,475.5300,15149400,19,Julio,2024,0.0020,-0.0030,0.0015,480.1160,13.3117
07/22/2024,486.5800,492.0600,483.9000,487.4000,486.1100,12023100,22,Julio,2024,0.0223,0.0192,0.0017,478.3640,11.0579
07/23/2024,489.8400,495.2200,487.7200,488.6900,487.4000,9455500,23,Julio,2024,0.0026,0.0219,-0.0023,478.1440,10.7812
07/24/2024,472.3100,476.3000,460.5800,461.2700,460.0500,17649700,24,Julio,2024,-0.0561,-0.0354,-0.0234,478.0000,11.0523
07/25/2024,463.2600,463.5500,442.6500,453.4100,452.2100,18240500,25,Julio,2024,-0.0170,-0.0519,-0.0213,473.5120,15.7158
07/26/2024,464.2000,469.7700,459.4200,465.7000,464.4700,14222400,26,Julio,2024,0.0271,-0.0262,0.0032,471.2940,15.9188
07/29/2024,469.8800,473.9600,465.0200,465.7100,464.4800,11339600,29,Julio,2024,0.0000,-0.0262,-0.0089,466.9560,13.1465
07/30/2024,467.0000,472.7300,456.7000,463.1900,461.9600,11390400,30,Julio,2024,-0.0054,-0.0314,-0.0082,461.8560,5.0766
07/31/2024,471.0200,476.5000,466.7500,474.8300,473.5700,24285800,31,Julio,2024,0.0251,-0.0071,0.0081,464.5680,7.6533
09/03/2024,519.6400,525.4900,508.6200,511.7600,510.4100,12459100,3,Septiembre,2024,0.0778,0.0701,-0.0152,476.2380,20.3466
09/04/2024,506.0700,516.5900,504.0700,512.7400,511.3800,8335200,4,Septiembre,2024,0.0019,0.0722,0.0132,485.6460,24.6715
09/05/2024,511.7200,521.6300,511.1500,516.8600,515.4900,8640900,5,Septiembre,2024,0.0080,0.0808,0.0100,495.8760,24.9416
09/06/2024,521.8800,524.5800,498.2500,500.2700,498.9500,14744500,6,Septiembre,2024,-0.0321,0.0461,-0.0414,503.2920,17.0608
09/09/2024,506.1600,511.3300,502.0800,504.7900,503.4500,11047800,9,Septiembre,2024,0.0090,0.0556,-0.0027,509.2840,6.6505
09/10/2024,508.1600,514.1800,500.0300,504.7900,503.4500,9899000,10,Septiembre,2024,0.0000,0.0556,-0.0066,507.8900,6.7318
09/11/2024,507.0100,513.1200,495.6000,511.8300,510.4800,10782500,11,Septiembre,2024,0.0139,0.0703,0.0095,507.7080,6.5784
09/12/2024,517.0500,526.7100,515.2200,525.6000,524.2100,11993300,12,Septiembre,2024,0.0269,0.0991,0.0165,509.4560,9.9271
09/13/2024,520.3400,527.5800,517.1100,524.6200,523.2300,10321400,13,Septiembre,2024,-0.0019,0.0970,0.0082,514.3260,10.2612
09/16/2024,524.5400,534.1000,517.4000,533.2800,532.3800,9527600,16,Septiembre,2024,0.0165,0.1151,0.0167,520.0240,11.4799
09/17/2024,537.6000,542.1000,530.5700,536.3200,535.4100,11690800,17,Septiembre,2024,0.0057,0.1215,-0.0024,526.3300,9.5106
09/18/2024,537.0700,544.2000,533.9000,537.9500,537.0400,10323500,18,Septiembre,2024,0.0030,0.1249,0.0016,531.5540,6.1264
09/19/2024,550.0000,562.0700,546.5200,559.1000,558.1500,15647000,19,Septiembre,2024,0.0393,0.1691,0.0165,538.2540,12.7379
09/20/2024,560.0000,564.5000,556.3000,561.3500,560.4000,22066800,20,Septiembre,2024,0.0040,0.1738,0.0024,545.6000,13.4790
09/23/2024,569.5000,573.9800,562.4100,564.4100,563.4500,12830700,23,Septiembre,2024,0.0055,0.1802,-0.0089,551.8260,13.5550
09/24/2024,566.6800,567.7500,554.1900,563.3300,562.3800,12993000,24,Septiembre,2024,-0.0019,0.1780,-0.0059,557.2280,10.9653
09/25/2024,564.0500,576.8800,563.7200,568.3100,567.3500,16543400,25,Septiembre,2024,0.0088,0.1884,0.0076,563.3000,3.4560
09/26/2024,575.7300,577.4000,562.3500,567.8400,566.8800,14400800,26,Septiembre,2024,-0.0008,0.1874,-0.0137,565.0480,2.9778
09/27/2024,570.1000,570.8400,564.5100,567.3600,566.4000,9398400,27,Septiembre,2024,-0.0008,0.1864,-0.0048,566.2500,2.2314
09/30/2024,567.7000,574.6800,564.8000,572.4400,571.4700,12792300,30,Septiembre,2024,0.0090,0.1970,0.0083,567.8560,3.2384
10/01/2024,577.9800,583.0400,570.1000,576.4700,575.4900,15259300,1,Octubre,2024,0.0070,0.2054,-0.0026,570.4840,3.9094
10/02/2024,574.8600,576.0000,569.3400,572.8100,571.8400,6524700,2,Octubre,2024,-0.0063,0.1978,-0.0036,571.3840,3.8003
10/03/2024,570.1500,583.3600,568.7300,582.7700,581.7800,11581000,3,Octubre,2024,0.0174,0.2186,0.0221,574.3700,5.7068
10/04/2024,583.7300,596.8500,581.4300,595.9400,594.9300,14169500,4,Octubre,2024,0.0226,0.2462,0.0209,580.0860,9.7856
10/07/2024,598.2200,602.9500,584.0400,584.7800,583.7900,12014200,7,Octubre,2024,-0.0187,0.2228,-0.0225,582.5540,8.8903
10/08/2024,589.6900,593.5600,585.9700,592.8900,591.8900,7857400,8,Octubre,2024,0.0139,0.2398,0.0054,585.8380,9.1110
10/09/2024,593.9900,594.3900,581.6100,590.5100,589.5100,9529700,9,Octubre,2024,-0.0040,0.2348,-0.0059,589.3780,5.5110
10/10/2024,587.5700,590.2300,582.5200,583.8300,582.8400,7740400,10,Octubre,2024,-0.0113,0.2208,-0.0064,589.5900,5.2051
10/11/2024,584.8300,591.2100,582.7100,589.9500,588.9500,8587100,11,Octubre,2024,0.0105,0.2336,0.0088,588.3920,3.9052
10/14/2024,594.2200,600.1000,589.9600,590.4200,589.4200,8252000,14,Octubre,2024,0.0008,0.2346,-0.0064,589.5200,3.3804
10/15/2024,590.1600,590.6100,580.1400,586.2700,585.2800,9564200,15,Octubre,2024,-0.0070,0.2259,-0.0066,588.1960,3.0062
10/16/2024,581.4000,582.0800,574.0300,576.7900,575.8100,11268400,16,Octubre,2024,-0.0162,0.2061,-0.0079,585.4520,5.5507
10/17/2024,583.3300,584.9700,575.2000,576.9300,575.9500,8701200,17,Octubre,2024,0.0002,0.2064,-0.0110,584.0720,6.7771
10/18/2024,581.1000,583.9700,575.2500,576.4700,575.4900,7694300,18,Octubre,2024,-0.0008,0.2054,-0.0080,581.3760,6.5309
10/21/2024,576.0300,577.2400,569.1100,575.1600,574.1900,8171900,21,Octubre,2024,-0.0023,0.2027,-0.0015,578.3240,4.4968
10/22/2024,574.2900,583.5300,572.1200,582.0100,581.0200,8544500,22,Octubre,2024,0.0119,0.2170,0.0134,577.4720,2.6316
10/23/2024,579.9700,585.0000,562.5000,563.6900,562.7400,14248400,23,Octubre,2024,-0.0315,0.1787,-0.0281,574.8520,6.7613
10/24/2024,567.1300,568.8800,561.5200,567.7800,566.8200,7184700,24,Octubre,2024,0.0073,0.1873,0.0011,573.0220,7.2768
10/25/2024,573.9300,581.2900,571.7200,573.2500,572.2800,11337900,25,Octubre,2024,0.0096,0.1987,-0.0012,572.3780,7.0338
10/28/2024,582.0000,583.7500,574.1200,578.1600,577.1800,10925100,28,Octubre,2024,0.0086,0.2090,-0.0066,572.9780,7.4463
10/29/2024,580.1500,593.6700,575.4000,593.2800,592.2700,13019100,29,Octubre,2024,0.0262,0.2406,0.0226,575.2320,11.4780
10/30/2024,600.9800,601.2000,589.3800,591.8000,590.8000,26864900,30,Octubre,2024,-0.0025,0.2375,-0.0153,580.8540,11.2941
10/31/2024,585.0000,589.9000,563.0100,567.5800,566.6200,26838400,31,Octubre,2024,-0.0409,0.1869,-0.0298,580.8140,11.3522
11/01/2024,567.6100,573.6700,562.5600,567.1600,566.2000,15303200,1,Noviembre,2024,-0.0007,0.1860,-0.0008,579.5960,12.6223
11/04/2024,564.1000,568.6900,557.8900,560.6800,559.7300,12064600,4,Noviembre,2024,-0.0114,0.1724,-0.0061,576.1000,15.2638
11/05/2024,567.3000,573.4800,566.6700,572.4300,571.4600,9775400,5,Noviembre,2024,0.0210,0.1970,0.0090,571.9300,11.8670
11/06/2024,562.7500,573.0000,555.1700,572.0500,571.0800,18305400,6,Noviembre,2024,-0.0007,0.1962,0.0165,567.9800,4.7563
11/07/2024,576.8900,594.8000,575.2100,591.7000,590.7000,14653700,7,Noviembre,2024,0.0344,0.2373,0.0257,572.8040,11.5825
11/08/2024,591.5400,593.1000,584.5200,589.3400,588.3400,9415700,8,Noviembre,2024,-0.0040,0.2324,-0.0037,577.2400,13.0366
11/11/2024,586.3600,587.0000,576.5100,583.1700,582.1800,10209100,11,Noviembre,2024,-0.0105,0.2195,-0.0054,581.7380,9.2138
