fecha,apertura,alto,bajo,cerrar,cierre_ajustado,volumen
06/13/2025,687.95,694.57,681.01,682.87,682.87,9261100
06/12/2025,693.30,695.38,687.00,693.36,693.36,7322700
06/11/2025,703.71,708.87,691.99,694.14,694.14,9582500
06/10/2025,701.35,703.23,691.56,702.40,702.40,10850100
06/09/2025,698.46,705.19,693.94,694.06,694.06,12773200
06/06/2025,696.17,702.81,691.87,697.71,697.71,11728000
06/05/2025,691.66,694.38,682.25,684.62,684.62,13083100
06/04/2025,669.32,689.00,668.57,687.95,687.95,14031900
06/03/2025,671.45,675.58,665.03,666.85,666.85,11585000
06/02/2025,644.39,673.26,644.26,670.90,670.90,15766300
05/30/2025,642.50,649.41,632.78,647.49,647.49,16241000
05/29/2025,651.65,653.32,639.50,645.05,645.05,8883400
05/28/2025,642.60,650.88,642.55,643.58,643.58,9042900
05/27/2025,635.41,643.08,632.75,642.32,642.32,9508400
05/23/2025,624.00,632.45,622.65,627.06,627.06,8454100
05/22/2025,634.05,643.25,630.71,636.57,636.57,8228400
05/21/2025,631.79,646.61,630.17,635.50,635.50,11464600
05/20/2025,636.01,639.35,632.26,637.10,637.10,6743500
05/19/2025,628.25,643.00,627.80,640.43,640.43,9592400
05/16/2025,637.96,640.44,626.15,640.34,640.34,18519000
05/15/2025,654.28,657.31,638.58,643.88,643.88,14341800
05/14/2025,661.21,662.67,654.31,659.36,659.36,12348200
05/13/2025,645.54,660.92,642.83,656.03,656.03,18570800
05/12/2025,630.92,640.39,621.03,639.43,639.43,21965100
05/09/2025,603.72,606.97,591.71,592.49,592.49,10427300
05/08/2025,606.29,611.30,596.62,598.01,598.01,14622800
05/07/2025,590.36,603.08,586.67,596.81,596.81,13139100
05/06/2025,592.53,596.03,586.58,587.31,587.31,10600700
05/05/2025,591.22,603.21,588.05,599.27,599.27,13887700
05/02/2025,583.46,604.34,578.33,597.02,597.02,24739300
05/01/2025,592.08,592.95,570.50,572.21,572.21,31159000
03/31/2025,563.50,578.70,553.30,576.36,576.36,21124700
03/28/2025,600.31,601.75,573.92,576.74,576.74,17602800
03/27/2025,602.00,614.25,600.10,602.58,602.58,10436500
03/26/2025,624.89,626.75,606.61,610.98,610.98,12609800
03/25/2025,626.76,633.88,621.18,626.31,626.31,15312500
03/24/2025,614.97,622.54,612.20,618.85,618.85,15741300
03/21/2025,583.42,597.54,580.95,596.25,596.25,25015900
03/20/2025,582.76,610.20,579.51,586.00,586.00,24336500
03/19/2025,584.28,592.32,574.77,584.06,584.06,20537500
03/18/2025,600.05,600.25,574.66,582.36,582.36,20297700
03/17/2025,607.46,613.10,598.00,604.90,604.90,15473900
03/14/2025,602.80,608.86,594.78,607.60,607.60,12364500
03/13/2025,620.25,620.50,586.51,590.64,590.11,16480300
03/12/2025,629.90,633.33,609.35,619.56,619.01,15747000
03/11/2025,595.05,614.93,593.33,605.71,605.17,17401500
03/10/2025,608.07,610.11,586.87,597.99,597.46,21999900
03/07/2025,625.37,634.79,600.61,625.66,625.10,21375700
03/06/2025,648.00,650.56,624.11,627.93,627.37,13446500
03/05/2025,641.00,659.50,637.66,656.47,655.89,13770000
03/04/2025,645.51,649.75,623.65,640.00,639.43,21495200
03/03/2025,673.68,681.25,650.84,655.05,654.47,10843800
02/28/2025,658.04,669.63,642.60,668.20,667.61,17534200
02/27/2025,682.45,688.65,657.57,658.24,657.65,12500000
02/26/2025,659.65,683.01,658.00,673.70,673.10,14488700
02/25/2025,665.97,668.00,641.86,657.50,656.92,20579700
02/24/2025,686.28,687.27,662.45,668.13,667.54,15677000
02/21/2025,696.58,703.87,682.36,683.55,682.94,15660400
02/20/2025,697.28,705.63,693.64,694.84,694.22,12587400
02/19/2025,704.10,707.00,695.39,703.77,703.14,17535500
02/18/2025,736.00,737.00,706.44,716.37,715.73,21938700
02/14/2025,726.14,740.91,725.62,736.67,736.02,16901200
02/13/2025,721.52,729.00,718.04,728.56,727.91,12569100
02/12/2025,715.30,727.10,712.60,725.38,724.74,12016500
02/11/2025,713.32,723.66,710.04,719.80,719.16,12998000
02/10/2025,718.56,721.20,711.33,717.40,716.76,12904300
02/07/2025,716.80,725.01,711.75,714.52,713.88,16427100
02/06/2025,705.88,718.90,703.50,711.99,711.36,13080700
02/05/2025,703.55,718.14,699.01,704.87,704.24,17778200
02/04/2025,702.50,707.71,691.61,704.19,703.56,13826300
02/03/2025,675.91,704.00,675.25,697.46,696.84,21415700
11/29/2024,569.00,578.46,566.90,574.32,573.35,7130500
11/27/2024,574.89,574.98,564.10,569.20,568.24,7200200
11/26/2024,566.00,577.50,565.20,573.54,572.57,10356600
11/25/2024,562.10,572.59,556.39,565.11,564.15,13599800
11/22/2024,563.55,563.83,554.59,559.14,558.19,9164000
11/21/2024,569.52,570.00,549.05,563.09,562.14,11154700
11/20/2024,562.93,566.35,554.20,565.52,564.56,9797300
11/19/2024,551.86,561.43,550.60,561.09,560.14,9522400
11/18/2024,557.04,559.90,550.09,554.40,553.46,14346700
11/15/2024,571.22,572.57,551.50,554.08,553.14,17712900
11/14/2024,577.00,580.76,573.01,577.16,576.18,11053700
11/13/2024,582.61,585.64,575.17,580.00,579.02,10757600
11/12/2024,588.54,599.66,580.38,584.82,583.83,16287700
11/11/2024,586.36,587.00,576.51,583.17,582.18,10209100
11/08/2024,591.54,593.10,584.52,589.34,588.34,9415700
11/07/2024,576.89,594.80,575.21,591.70,590.70,14653700
11/06/2024,562.75,573.00,555.17,572.05,571.08,18305400
11/05/2024,567.30,573.48,566.67,572.43,571.46,9775400
11/04/2024,564.10,568.69,557.89,560.68,559.73,12064600
11/01/2024,567.61,573.67,562.56,567.16,566.20,15303200
10/31/2024,585.00,589.90,563.01,567.58,566.62,26838400
10/30/2024,600.98,601.20,589.38,591.80,590.80,26864900
10/29/2024,580.15,593.67,575.40,593.28,592.27,13019100
